Scientific Name,Family ,Local Name,Disease used on ,Parts used,Preparation and Administration,Quality of Dosage ,Administration Frequency,Experienced adverse or side effects,Literature taken from,Page where the data can be found on the literature
Poikilospermum acuminatum (Trecul.) Merr.,Urticaceae,Hanupi,Skin rashes and itchiness; cuts and wounds; animal and insect bites,"Root, Sap",Apply decoction as wash,1 arm-sized root,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 43
Stachytarpheta jamaicensis (L.) Vahl,Verbenaceae,Elepanteng lingganag,Ascariasis; abortifacient; fever,Root,Drink decoction,1 arm-sized roo,Once to thrice a day or as needed,Can cause abortion in pregnant women,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 43
Stachytarpheta jamaicensis (L.) Vahl,Verbenaceae,Elepanteng lingganag,"Boils; bruises, sprain",Leaf,Apply crushed leaves as poultice,3–5 glasses ,As needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 43
Dianella ensifolia (L.) DC.,Xanthorrhoeaceae,Ikug-ikug,"Maternal care; postpartum care and recovery, milk production enhancer",Leaf,Drink decoction,3–5 glasses ,"Once a day or as needed
 ",,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 43
Dianella ensifolia (L.) DC.,Xanthorrhoeaceae,Ikug-ikug,Cuts and wounds ,Leaf,Apply leaves as poultice,3–5 leaves,As needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 43
Dianella ensifolia (L.) DC.,Xanthorrhoeaceae,Ikug-ikug,Herpes simplex,"Leaf, Root ",Apply coconut oil-infused ashes of leaf and roots,Completely on affected part,Thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 43
Curcuma longa L.,Zingerberaceae,Duwaw yellow,"Diabetes; cough; arthritis, rheumatism; delayed menstruation; fever, gas pain and flatulence",Rhizome,Drink grinded and brewed rhizome,1–3 cups,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 43
Curcuma longa L.,Zingerberaceae,Duwaw yellow,"Burns, cuts and wounds, insect bites",Rhizome,Apply extracted juice from crushed rhizome,Completely on affected part,As needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 43
Curcuma zedoaria (Christm.) Rosc.,Zingerberaceae,Duwaw violet,Cough; fever,Rhizome,Drink grinded and brewed rhizome,1–3 cups,"Once or twice a day or as needed
 
",,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 44
Alpinia haenkei C.Presl,Zingiberaceae,Yanguas,"Cough; stomachache; urination difficulty, urinary tract infection",Root,Drink decoction,3–5 glasses  ,"Once to thrice a day or as needed
",,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 44
Kaempferia galanga,Zingiberaceae,Kisol,"Colds; tonic; cough, sore throat; dyspepsia, toothache; postpartum care and recovery; headache, fever",Rhizome,Drink decoction,3–5 glasses  ,Twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 44
Kaempferia galanga,Zingiberaceae,Kisol,"Toothache; headache, fever",Rhizome,Apply grinded rhizome as poultice,1–3 rhizomes,Thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 44
Kaempferia galanga,Zingiberaceae,Kisol,"Tonic; postpartum care and recovery; headache, fever",Shoot,Place washed clean shoot around the neck,1–3 shoots,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 44
Kaempferia galanga,Zingiberaceae,Kisol,"Cough; rheumatism, swollen muscle",Leaf,Rub heated and crashed leaves,1–3 leaves,Thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 44
Eleusine indica (L.) Gaertn.,Poaceae,Bila-bila,"Relapse, fatigue, headache,
body pain, fever; migraine",Stem,Drink infusion,1/2 Glass,"Thrice a day before
meal or as needed",,"Ethnomedicinal documentation of polyherbal formulations and other folk medicines in Aurora, Zamboanga del Sur, Philippines",Page: 5
Kyllinga nemoralis ,Cyperaceae,Busikad,"Relapse, fatigue, headache,
body pain, fever; migraine",Stem,Drink infusion,1/2 Glass,"Thrice a day before
meal or as needed",,"Ethnomedicinal documentation of polyherbal formulations and other folk medicines in Aurora, Zamboanga del Sur, Philippines",Page: 5
Vigna radiata,Leguminosae,Monggos,"Relapse, fatigue, headache,
body pain, fever; migraine",Fruit,Drink infusion,1/2 Glass,"Thrice a day before
meal or as needed",,"Ethnomedicinal documentation of polyherbal formulations and other folk medicines in Aurora, Zamboanga del Sur, Philippines",Page: 5
Persea americana,Lauraceae,Abokado,"Diarrhea, stomachache, stomach problems, peptic
ulcer, gas pain, flatulence, stomach acidity, burning chest, discomfort, nausea",Leaf,Drink decoction,1  Glass,Twice a day or as needed,,"Ethnomedicinal documentation of polyherbal formulations and other folk medicines in Aurora, Zamboanga del Sur, Philippines",Page: 5
Psidium guajava L.,Myrtaceae,Bayabas,"Diarrhea, stomachache, stomach problems, peptic
ulcer, gas pain, flatulence, stomach acidity, burning chest, discomfort, nausea",Leaf,Drink decoction,1  Glass,Twice a day or as needed,,"Ethnomedicinal documentation of polyherbal formulations and other folk medicines in Aurora, Zamboanga del Sur, Philippines",Page: 5
Chrysophyllum cainito L.,Sapotaceae,Caymito,"Diarrhea, stomachache, stomach problems, peptic
ulcer, gas pain, flatulence, stomach acidity, burning chest, discomfort, nausea",Leaf,Drink decoction,1  Glass,Twice a day or as needed,,"Ethnomedicinal documentation of polyherbal formulations and other folk medicines in Aurora, Zamboanga del Sur, Philippines",Page: 5
Musa acuminata x balbisiana,Musaceae,Saging kardaba,"Relapse, fatigue, headache, body pain, fever; migraine",Sap,Drink the mixture of Saging kardaba petiole sap and Coconut liquid endosperm (Coconut water) with hot water.,All the sap from a palm- sized petiole and a coconut fruit,Once a day until symptoms subside,,"Ethnomedicinal documentation of polyherbal formulations and other folk medicines in Aurora, Zamboanga del Sur, Philippines",Page: 5
Cocos nucifera L.,Arecaceae,Lubi (limbahon),"Relapse, fatigue, headache, body pain, fever; migraine",Fruit,Drink the mixture of Saging kardaba petiole sap and Coconut liquid endosperm (Coconut water) with hot water.,All the sap from a palm- sized petiole and a coconut fruit,Once a day until symptoms subside,,"Ethnomedicinal documentation of polyherbal formulations and other folk medicines in Aurora, Zamboanga del Sur, Philippines",Page: 5
Ficus septica Burm.f,Moraceae,Lagnob,"Relapse, fatigue, headache,
body pain, fever; migraine","Root, Shoot","Drink decoction of roots
and/or shoots of kipi-kipi,
lagnob, and roasted mais
seeds.",1-2 glasses,"Every morning before
breakfast and every
night before sleeping/ until symptoms subside",,"Ethnomedicinal documentation of polyherbal formulations and other folk medicines in Aurora, Zamboanga del Sur, Philippines",Page: 5
Mimosa pudica L.,Fabaceae,kipi-kipi,"Relapse, fatigue, headache,
body pain, fever; migraine","Root, Shoot","Drink decoction of roots
and/or shoots of kipi-kipi,
lagnob, and roasted mais
seeds.",1-2 glasses,"Every morning before
breakfast and every
night before sleeping/ until symptoms subside",,"Ethnomedicinal documentation of polyherbal formulations and other folk medicines in Aurora, Zamboanga del Sur, Philippines",Page: 5
Zea mays L,Poaceae,Mais,"Relapse, fatigue, headache,
body pain, fever; migraine","Root, Shoot","Drink decoction of roots
and/or shoots of kipi-kipi,
lagnob, and roasted mais
seeds.",1-2 glasses,"Every morning before
breakfast and every
night before sleeping/ until symptoms subside",,"Ethnomedicinal documentation of polyherbal formulations and other folk medicines in Aurora, Zamboanga del Sur, Philippines",Page: 5
Zea mays L,Lamiaceae,Mais,"Gas pain, flatulence;
arthritis, muscle pain, muscle knots, swellings, stomach acidity, burning
chest discomfort, nausea",Leaf,"Apply heated crushed Gemelinaleaves, Tuba-tuba scraped bark, and pounded rhizomes of luy-aas poultice",Entirely on the affected area,Every morning and every night before sleeping/until symptoms subside,,"Ethnomedicinal documentation of polyherbal formulations and other folk medicines in Aurora, Zamboanga del Sur, Philippines",Page: 5
Gmelina arborea Roxb.,Euphorbiaceae,Gemelina,"Gas pain, flatulence;
arthritis, muscle pain, muscle knots, swellings, stomach acidity, burning
chest discomfort, nausea",Bark,"Apply heated crushed Gemelinaleaves, Tuba-tuba scraped bark, and pounded rhizomes of luy-aas poultice",Entirely on the affected area,Every morning and every night before sleeping/until symptoms subside,,"Ethnomedicinal documentation of polyherbal formulations and other folk medicines in Aurora, Zamboanga del Sur, Philippines",Page: 5
Jatropha curcas L.,Zingiberaceae,Tuba-tuba,"Gas pain, flatulence;
arthritis, muscle pain, muscle knots, swellings, stomach acidity, burning
chest discomfort, nausea",Rhizome,"Apply heated crushed Gemelinaleaves, Tuba-tuba scraped bark, and pounded rhizomes of luy-aas poultice",Entirely on the affected area,Every morning and every night before sleeping/until symptoms subside,,"Ethnomedicinal documentation of polyherbal formulations and other folk medicines in Aurora, Zamboanga del Sur, Philippines",Page: 5
Citrus maxima ,Rutaceae,Buongon,"Relapse, fatigue, headache, body pain, fever; migraine",Leaf,Drink decoction,1-2 glasses,Once a day or as needed,,"Ethnomedicinal documentation of polyherbal formulations and other folk medicines in Aurora, Zamboanga del Sur, Philippines",Page: 5
Blumea balsamifera,Asteraceae,Gabon,"Relapse, fatigue, headache, body pain, fever; migraine",Leaf,Drink decoction,1-2 glasses,Once a day or as needed,,"Ethnomedicinal documentation of polyherbal formulations and other folk medicines in Aurora, Zamboanga del Sur, Philippines",Page: 5
Pseudelephantopus spicatus,Compositae,Dila dila sa iro,"Relapse, fatigue, headache, body pain, fever; migraine",Leaf,Drink decoction,1-2 glasses,Once a day or as needed,,"Ethnomedicinal documentation of polyherbal formulations and other folk medicines in Aurora, Zamboanga del Sur, Philippines",Page: 5
Psidium guajava ,Myrtaceae,Bayabas ,Diarrhea and stomachache,Bark,Drink decoction,1-2 glasses,Twice a day or as needed,,"Ethnomedicinal documentation of polyherbal formulations and other folk medicines in Aurora, Zamboanga del Sur, Philippines",Page: 5
Syzygium cumini ,Myrtaceae,Lumboy,Diarrhea and stomachache,Bark,Drink decoction,1-2 glasses,Twice a day or as needed,,"Ethnomedicinal documentation of polyherbal formulations and other folk medicines in Aurora, Zamboanga del Sur, Philippines",Page: 5
Musa textilis Née,Musaceae,Abaka,"Relapse, fatigue, headache,
body pain, fever; migraine",Sap,"Drink sap from the heated
center portion of three
palm-sized petioles of each plant.","All sap from
one palm-
sized petiole of each plant","Once a day or as
needed",,"Ethnomedicinal documentation of polyherbal formulations and other folk medicines in Aurora, Zamboanga del Sur, Philippines",Page: 6
Corypha utan Lam,Arecaceae,Buli,"Relapse, fatigue, headache,
body pain, fever; migraine",Sap,"Drink sap from the heated
center portion of three
palm-sized petioles of each plant.","All sap from
one palm-
sized petiole of each plant","Once a day or as
needed",,"Ethnomedicinal documentation of polyherbal formulations and other folk medicines in Aurora, Zamboanga del Sur, Philippines",Page: 6
Musa acuminata x balbisiana ,Musaceae,Saging kardaba,"Relapse, fatigue, headache,
body pain, fever; migraine",Sap,"Drink sap from the heated
center portion of three
palm-sized petioles of each plant.","All sap from
one palm-
sized petiole of each plant","Once a day or as
needed",,"Ethnomedicinal documentation of polyherbal formulations and other folk medicines in Aurora, Zamboanga del Sur, Philippines",Page: 6
Musa sp.,Musaceae,Saging bulongan,"Relapse, fatigue, headache,
body pain, fever; migraine",Sap,"Drink sap from the heated
center portion of three
palm-sized petioles of each plant.","All sap from
one palm-
sized petiole of each plant","Once a day or as
needed",,"Ethnomedicinal documentation of polyherbal formulations and other folk medicines in Aurora, Zamboanga del Sur, Philippines",Page: 6
Momordica charantiaL,Cucurbitaceae,Ampalaya,"Flatulence, fatigue, relapse, headache, body pain, fever, muscle knots, muscle spasm, muscle pain, swellings, stomachacidity. Burning chest discomfort, nausea",Leaf,"Mix sili fruit, ampalaya crushed and heated leaves, and coconut oil and apply as a massage oil",Entirely on the affected area,As needed ,,"Ethnomedicinal documentation of polyherbal formulations and other folk medicines in Aurora, Zamboanga del Sur, Philippines",Page: 6
Capsicum annuumL,Solanaceae,Sili,"Flatulence, fatigue, relapse, headache, body pain, fever, muscle knots, muscle spasm, muscle pain, swellings, stomachacidity. Burning chest discomfort, nausea",Fruit,"Mix sili fruit, ampalaya crushed and heated leaves, and coconut oil and apply as a massage oil",Entirely on the affected area,As needed ,,"Ethnomedicinal documentation of polyherbal formulations and other folk medicines in Aurora, Zamboanga del Sur, Philippines",Page: 6
